,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Auraria,39.74582064021649,-105.00826714266104,Tivoli Brewing Company,39.745494457729656,-105.00547491891221,Brewery
1,Auraria,39.74582064021649,-105.00826714266104,Ball Arena,39.7487,-105.0076,Basketball Stadium
2,Auraria,39.74582064021649,-105.00826714266104,SpringHill Suites Denver Downtown,39.7475365,-105.0038053,Hotel
3,Auraria,39.74582064021649,-105.00826714266104,Alfresco Greens,39.74490503941144,-105.00577791755975,Salad Place
4,Auraria,39.74582064021649,-105.00826714266104,Orangetheory Fitness,39.75098128400561,-105.0037155557359,Gym
5,Auraria,39.74582064021649,-105.00826714266104,Mind Eraser,39.74956155734978,-105.01388726041263,Theme Park Ride / Attraction
6,Auraria,39.74582064021649,-105.00826714266104,Boomerang,39.748359799818886,-105.0143636281071,Theme Park Ride / Attraction
7,Auraria,39.74582064021649,-105.00826714266104,Rhein Haus,39.74834632084779,-105.00053658658578,German Restaurant
8,Auraria,39.74582064021649,-105.00826714266104,Coohills,39.750764003689326,-105.0038316101289,French Restaurant
9,Auraria,39.74582064021649,-105.00826714266104,Biker Jim's @ Auraria Campus,39.74510949749585,-105.00485525989006,Hot Dog Joint
10,Auraria,39.74582064021649,-105.00826714266104,Elitch Gardens Theme & Water Park,39.75004490229126,-105.01076065912419,Theme Park
11,Auraria,39.74582064021649,-105.00826714266104,Society Sports & Spirits,39.74914264035433,-105.00086477756001,Bar
12,Auraria,39.74582064021649,-105.00826714266104,Celtic On Market,39.7479290631951,-105.00042758810923,Irish Pub
13,Auraria,39.74582064021649,-105.00826714266104,Starbucks In The Tivoli,39.74472969653507,-105.00579764161432,Coffee Shop
14,Auraria,39.74582064021649,-105.00826714266104,Tower of Doom,39.748204162220595,-105.01413306408408,Theme Park Ride / Attraction
15,Auraria,39.74582064021649,-105.00826714266104,Ted's Montana Grill,39.747541,-104.999834,American Restaurant
16,Auraria,39.74582064021649,-105.00826714266104,Panda Express,39.74951171875,-105.00981903076172,Chinese Restaurant
17,Auraria,39.74582064021649,-105.00826714266104,Off-Center @ The Jones,39.74449900387707,-104.9997294153917,Theater
18,Auraria,39.74582064021649,-105.00826714266104,Dazbog,39.7454147563626,-105.00747372146121,Coffee Shop
19,Auraria,39.74582064021649,-105.00826714266104,King Center,39.74333009251395,-105.00606203299411,Theater
20,Auraria,39.74582064021649,-105.00826714266104,Elitch Gardens South Gate,39.74396252187824,-105.01454971561742,Theme Park
21,Auraria,39.74582064021649,-105.00826714266104,Twister II,39.74625602403463,-105.01430869386823,Theme Park Ride / Attraction
22,Auraria,39.74582064021649,-105.00826714266104,Taco Bell,39.744991999999996,-105.005904,Fast Food Restaurant
23,Auraria,39.74582064021649,-105.00826714266104,polygraph Denver Colorado,39.74529264675221,-105.00959873199463,IT Services
24,Auraria,39.74582064021649,-105.00826714266104,RTD - Broncos Stadium at Mile High Station,39.7433595428321,-105.01297844754396,Light Rail Station
25,Auraria,39.74582064021649,-105.00826714266104,Campus Village Cyber Cafe (Campus Village Denver),39.74262176791206,-105.01246115842613,Café
26,Auraria,39.74582064021649,-105.00826714266104,RTD - Auraria West Campus Light Rail Station,39.74159726084765,-105.01067185761208,Light Rail Station
27,Auraria,39.74582064021649,-105.00826714266104,Tea Cups,39.74934932,-105.01250823,Theme Park
28,Auraria,39.74582064021649,-105.00826714266104,Brain Drain,39.74776999435419,-105.01401330764227,Theme Park Ride / Attraction
29,Auraria,39.74582064021649,-105.00826714266104,Basil & Tomato Pizza Company,39.750129,-105.011598,Pizza Place
30,Auraria,39.74582064021649,-105.00826714266104,Trocadero Theatre,39.750256345214844,-105.01168769735159,Theater
31,Auraria,39.74582064021649,-105.00826714266104,Centennial Park,39.7524959058514,-105.00915718457256,Park
32,Cory - Merrill,39.69046205356752,-104.94982222433913,Nordstrom Rack,39.68878404905316,-104.94236616421404,Discount Store
33,Cory - Merrill,39.69046205356752,-104.94982222433913,Lollicup,39.68781115463941,-104.9419354378464,Tea Room
34,Cory - Merrill,39.69046205356752,-104.94982222433913,The Bronze Empire,39.68770218637779,-104.94189609222165,Asian Restaurant
35,Cory - Merrill,39.69046205356752,-104.94982222433913,Guitar Center,39.6879155,-104.9419282,Music Store
36,Cory - Merrill,39.69046205356752,-104.94982222433913,Right Time,39.689794,-104.9416,Jewelry Store
37,Cory - Merrill,39.69046205356752,-104.94982222433913,Starbucks,39.689303,-104.942492,Coffee Shop
38,Cory - Merrill,39.69046205356752,-104.94982222433913,WW (Weight Watchers),39.68989562988281,-104.94142150878906,Weight Loss Center
39,Cory - Merrill,39.69046205356752,-104.94982222433913,Starbucks,39.68703,-104.942461,Coffee Shop
40,Cory - Merrill,39.69046205356752,-104.94982222433913,Courtyard Denver Cherry Creek,39.6905395,-104.942125,Hotel
41,Cory - Merrill,39.69046205356752,-104.94982222433913,Plato's Closet,39.689606729557134,-104.94118556316954,Clothing Store
42,Cory - Merrill,39.69046205356752,-104.94982222433913,Safeway,39.6872572,-104.9423608,Grocery Store
43,Cory - Merrill,39.69046205356752,-104.94982222433913,"Tiftickjian Law Firm, P.C.",39.6926368,-104.9549708,Lawyer
44,Cory - Merrill,39.69046205356752,-104.94982222433913,One Hour Optical,39.68537061015639,-104.95134005859455,Pharmacy
45,Belcaro,39.70504350655012,-104.95047721653397,Bonnie Brae Ellipse Park,39.700160665226676,-104.9549908102973,Park
